name,slug,symbol,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
0chain,0chain,ZCN,2018-11-29,441,0.619762,0.636403,0.598048,0.619802,539840.0,24792080.0,1.0,0.15
0x,0x,ZRX,2018-11-29,26,2.37,2.53,2.19,2.37,208910000.0,1166001737.0,1.0,1.01
0xBitcoin,0xbtc,0XBTC,2018-11-29,706,4.23,4.57,3.43,4.33,590335.0,6281057.0,1.0,2.14
0xcert,0xcert,ZXC,2018-11-29,1034,0.039791,0.044693,0.036971,0.039857,13302400.0,2476318.0,1.0,0.01
1World,1world,1WO,2018-11-29,672,0.442324,0.622365,0.377158,0.443498,1093390.0,9073689.0,1.0,0.33
2GIVE,2give,2GIVE,2018-11-29,784,0.03958,0.062242,0.033376,0.039473,3132850.0,20498837.0,1.0,0.06
300 Token,300-token,300,2018-11-29,1558,1451.05,3812.41,1253.63,1461.65,127163.0,438495.0,1.0,3304.28
42-coin,42-coin,42,2018-11-30,1228,1013620.0,1146320.0,732467.0,793273.0,227918.0,5355626.0,1.0,432074.0
4NEW,4new,KWATT,2018-11-29,757,0.113081,0.179403,0.084875,0.112169,2272310.0,2999522.0,1.0,0.13
808Coin,808coin,808,2018-11-29,1021,0.004878,0.00578,0.004297,0.004877,207016.0,10444175.0,1.0,0.0
8Bit,8bit,8BIT,2018-11-29,1605,3.47,146.33,1.05,3.47,464438.0,2470689.0,1.0,146.27
AB-Chain RTB,ab-chain-rtb,RTB,2018-11-29,1058,0.080485,0.113755,0.063888,0.080284,49426.0,905719.0,0.9947,0.05
ABCC Token,abcc-token,AT,2018-11-29,2061,0.338078,0.347024,0.313974,0.338145,0.0,0.0,0.9786,0.07
AC3,ac3,AC3,2018-11-29,752,0.411975,0.418776,0.396594,0.400879,396482.0,20791209.0,1.0,0.1
ACChain,acchain,ACC,2018-11-29,2029,2.73,2.78,2.52,2.73,3103520.0,0.0,1.0,0.99
ACE (TokenStars),ace,ACE,2018-11-29,1011,1.55,1.98,1.29,1.43,4439200.0,3497010.0,1.0,1.11
ACRE,acre,ACRE,2018-11-29,1602,0.62224,0.644543,0.621198,0.622242,68549.0,1061839.0,1.0,0.36
AI Doctor,aidoc,AIDOC,2018-11-29,560,0.249443,0.297596,0.21117,0.253639,41407700.0,34296159.0,1.0,0.09
AICHAIN,aichain,AIT,2018-11-29,861,0.124045,0.140487,0.111011,0.125363,2392610.0,66826887.0,1.0,0.05
ALAX,alax,ALX,2018-11-29,774,0.031569,0.032197,0.027973,0.03086,367928.0,10078339.0,1.0,0.01
